,GSE127257_gene_cluster_23,GSE127257_gene_cluster_19,GSE127257_gene_cluster_21,GSE127257_gene_cluster_22,GSE127257_gene_cluster_14,GSE127257_gene_cluster_12,GSE127257_gene_cluster_11,GSE127257_gene_cluster_8,GSE127257_gene_cluster_17,GSE127257_gene_cluster_3,GSE127257_gene_cluster_5,GSE127257_gene_cluster_24,GSE127257_gene_cluster_25,GSE127257_gene_cluster_13,GSE127257_gene_cluster_16,GSE127257_gene_cluster_4,GSE127257_gene_cluster_6,GSE127257_gene_cluster_26,GSE127257_gene_cluster_1,GSE127257_gene_cluster_15,GSE127257_gene_cluster_9,GSE127257_gene_cluster_7,GSE127257_gene_cluster_18,GSE127257_gene_cluster_20,GSE127257_gene_cluster_10,GSE127257_gene_cluster_2
SM_EX_L6.IT.Car3,0.07526881720430108,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.02040816326530612,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704
SM_IN_Sst,0.010101010101010102,0.06951871657754011,0.010101010101010102,0.005025125628140704,0.015228426395939087,0.005025125628140704,0.02040816326530612,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0
SM_EX_L5.ET,0.0,0.015228426395939087,0.0582010582010582,0.02564102564102564,0.015228426395939087,0.005025125628140704,0.02564102564102564,0.010101010101010102,0.005025125628140704,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.015228426395939087,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0
SM_IN_Sncg,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.030927835051546393,0.015228426395939087,0.0,0.02564102564102564,0.030927835051546393,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.0,0.0,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.015228426395939087,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.015228426395939087,0.005025125628140704
SM_EX_L5.IT,0.015228426395939087,0.0,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.03626943005181347,0.0,0.010101010101010102,0.0,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.015228426395939087
SM_IN_Pvalb,0.010101010101010102,0.015228426395939087,0.02040816326530612,0.0,0.030927835051546393,0.0,0.0,0.005025125628140704,0.0,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.015228426395939087,0.015228426395939087
SM_IN_Lamp5,0.005025125628140704,0.0,0.0,0.030927835051546393,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0
SM_IN_Vip,0.010101010101010102,0.005025125628140704,0.010101010101010102,0.02564102564102564,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.0,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.010101010101010102,0.010101010101010102,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.015228426395939087,0.010101010101010102
SM_EX_L5.6.NP,0.005025125628140704,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.02564102564102564,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.005025125628140704
SM_EX_L2.3.IT,0.0,0.015228426395939087,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.010101010101010102,0.0,0.005025125628140704,0.0,0.015228426395939087,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.010101010101010102,0.0
SM_EX_L6.CT,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.015228426395939087,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0
SM_EX_L6b,0.005025125628140704,0.010101010101010102,0.0,0.010101010101010102,0.0,0.0,0.015228426395939087,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0
